appId,total_reviews,positive_ratio,review_score
594570,50625,0.9329975308641976,8
323190,37703,0.9270084608651832,8
674940,52281,0.9423691207130698,8
1151340,44052,0.7578543539453373,6
225540,44585,0.8644611416395649,8
412020,33164,0.8706127125799059,8
1506830,33374,0.8090130041349554,8
504230,57189,0.9741733550158247,9
1142710,58978,0.7019566618060972,6
386360,752,0.7805851063829787,6
1604030,53167,0.8997310361690523,8
774171,29005,0.9469746595414583,8
1196590,42190,0.9497511258592083,8
1818750,5284,0.7051476154428463,6
301520,956,0.6265690376569037,5
1832640,2431,0.47058823529411764,5
335300,33056,0.8321030977734754,8
223470,41354,0.9716593316245103,9
220240,40883,0.8468067411882689,8
582160,35384,0.8419342075514357,8
1643320,40766,0.7701515969190011,6
387990,45549,0.9082965597488419,8
1361210,70351,0.7476937072678427,6
1446780,33001,0.8686706463440502,8
305620,38672,0.8891446007447249,8
1817070,51118,0.9660784850737509,9
629760,58995,0.8144080006780235,8
513710,36996,0.7424045842793816,6
677620,158,0.9367088607594937,8
632470,54637,0.9241356589856691,8
2527500,24641,0.980520271092894,9
1903340,93667,0.9678435308059402,9
286690,26218,0.880921504310016,8
899770,58791,0.8066880985184807,8
424840,18616,0.9452621400945423,8
231430,28069,0.8464141935943568,8
219740,32731,0.9614127279948672,9
2195250,32066,0.5768415143765983,5
1167630,70268,0.9557124153241874,9
440900,37307,0.7968477765566784,6
356190,35240,0.8828887627695801,8
2054970,42803,0.6707006518234703,5
219150,40216,0.966829122737219,9
976310,25120,0.8671974522292993,8
779340,17059,0.8411981945014362,8
1313140,56378,0.9632658129057434,9
1687950,31058,0.9675767918088737,9
1259420,35207,0.921066833300196,8
1943950,34949,0.8962488197087184,8
1771300,58734,0.9331051860932339,8
282070,22727,0.9230870770449245,8
268500,43668,0.857263900338921,8
221380,36529,0.9519833556899997,9
359320,51873,0.7660439920575252,6
287700,41009,0.9197005535370285,8
755790,233,0.7167381974248928,6
219990,38438,0.9509599875123576,9
1217060,36087,0.9616759497880123,9
1721470,16303,0.8093602404465435,8
233860,45831,0.9507102179747332,9
418370,28335,0.9457208399505912,8
1942280,28874,0.9669252614809171,9
546560,60133,0.9821395905742272,9
